Area,Item,Year,Rainfall,Pesticides,Temperature,Rainfall_Category,Temperature_Band,Pesticide_Category,Rainfall_Temp_Index,Pesticide_Efficiency,Log_Pesticides
Saudi Arabia,Sorghum,2000,59.0,3024.11,26.55,Very Low,Warm,Medium,1566.45,4.424301926210948,8.014702733440165
Greece,Sweet potatoes,2012,652.0,8002.2,18.82,Low,Cool,Medium,12270.64,24.869302279088366,8.9875967406833
Colombia,Maize,2006,3240.0,98328.63,27.51,Very High,Warm,Very High,89132.40000000001,0.257989377159255,11.496080684927705
Zimbabwe,Potatoes,2010,657.0,3305.17,21.17,Low,Warm,Medium,13908.69,50.45868784726738,8.103545698716514
Dominican Republic,Sweet potatoes,2007,1410.0,5689.8,27.08,Moderate,Warm,Medium,38182.799999999996,13.301469037745132,8.646606114777011
India,Cassava,1991,1083.0,72133.0,27.35,Moderate,Warm,Very High,29620.050000000003,3.034976571381041,11.186280779387824
India,Sweet potatoes,2002,1083.0,42482.56,26.12,Moderate,Warm,High,28287.960000000003,2.01710967724927,10.656872456547575
India,Wheat,2007,1083.0,27422.77,27.55,Moderate,Warm,High,29836.65,0.9874280596723207,10.219165434547868
Japan,Potatoes,2002,1668.0,70262.54,16.09,High,Cool,Very High,26838.12,3.2794533267182384,11.160008308837506
Burkina Faso,Maize,2012,748.0,843.0,28.67,Low,Warm,Low,21445.16,21.78436018957346,6.738152494595957
Italy,Sweet potatoes,2002,832.0,94211.0,8.15,Low,Cold,Very High,6780.8,1.2064386702330914,11.453302840986256
Japan,"Rice, paddy",2011,1668.0,51796.3,15.62,High,Cool,Very High,26054.16,1.2862446498176545,10.855093303336972
India,Wheat,2006,1083.0,37423.0,25.78,Moderate,Warm,High,27919.74,0.6997648567764002,10.53006748882396
Nicaragua,Potatoes,1996,2280.0,2041.7,26.76,Very High,Warm,Medium,61012.8,70.85573016106135,7.622027741157031
Zambia,Sorghum,2011,1020.0,1670.0,20.88,Moderate,Warm,Medium,21297.6,4.921005385996409,7.421177528595393
Guinea,Cassava,2007,1651.0,400.55,27.28,High,Warm,Low,45039.28,199.8480886564562,5.995332058634471
